text,label
Looking for ecstasy,1
Anti drug campaign starts today,0
Drug abuse is dangerous,0
Drug abuse is dangerous,0
Looking for hash,1
Drugs ruin lives,0
DM for ganja,1
Do you have weed?,1
brown sugar available near metro,1
DM for weed,1
Drug abuse is dangerous,0
Selling brown sugar tonight,1
Police arrested drug dealers,0
Drugs ruin lives,0
Need heroin urgently,1
Need ganja urgently,1
Do you have ganja?,1
Need ecstasy urgently,1
Can you arrange lsd?,1
Can you arrange hash?,1
Police arrested drug dealers,0
Need sn0w urgently,1
Can you arrange brown sugar?,1
Drugs ruin lives,0
Drug abuse is dangerous,0
This movie talks about drugs,0
How are you doing today?,0
This movie talks about drugs,0
Drugs ruin lives,0
Drug abuse is dangerous,0
Do you have heroin?,1
Let's meet for coffee,0
Anti drug campaign starts today,0
lsd available near metro,1
DM for heroin,1
How are you doing today?,0
Need hash urgently,1
Need brown sugar urgently,1
Anti drug campaign starts today,0
This movie talks about drugs,0
Drugs ruin lives,0
Police arrested drug dealers,0
How are you doing today?,0
This movie talks about drugs,0
Drugs ruin lives,0
Drugs ruin lives,0
Need ecst@sy urgently,1
Need ecstasy urgently,1
DM for charas,1
Anti drug campaign starts today,0
Anti drug campaign starts today,0
Looking for lsd,1
Need ecstasy urgently,1
Anti drug campaign starts today,0
Looking for w.e.e.d,1
Let's meet for coffee,0
Drug abuse is dangerous,0
Police arrested drug dealers,0
How are you doing today?,0
Looking for ecstasy,1
Drug abuse is dangerous,0
Need brown sugar urgently,1
hash available near metro,1
Drugs ruin lives,0
Selling ecstasy tonight,1
Police arrested drug dealers,0
Do you have md*m@?,1
Selling cocaine tonight,1
DM for heroin,1
This movie talks about drugs,0
Do you have ganja?,1
Police arrested drug dealers,0
Drug abuse is dangerous,0
This movie talks about drugs,0
How are you doing today?,0
Need cocaine urgently,1
Drugs ruin lives,0
How are you doing today?,0
DM for weed,1
hash available near metro,1
Let's meet for coffee,0
Anti drug campaign starts today,0
Drugs ruin lives,0
brown sugar available near metro,1
How are you doing today?,0
Looking for lsd,1
Looking for lsd,1
How are you doing today?,0
Drugs ruin lives,0
Police arrested drug dealers,0
Looking for heroin,1
DM for hash,1
weed available near metro,1
Selling mdma tonight,1
Can you arrange cocaine?,1
Looking for lsd,1
Can you arrange brown sugar?,1
This movie talks about drugs,0
Do you have charas?,1
Police arrested drug dealers,0
How are you doing today?,0
DM for ganja,1
Anti drug campaign starts today,0
This movie talks about drugs,0
Anti drug campaign starts today,0
How are you doing today?,0
Drug abuse is dangerous,0
Do you have hash?,1
How are you doing today?,0
Can you arrange ecstasy?,1
Drug abuse is dangerous,0
DM for weed,1
DM for ganja,1
Anti drug campaign starts today,0
Need charas urgently,1
Selling sn0w tonight,1
cocaine available near metro,1
Drugs ruin lives,0
Need cocaine urgently,1
How are you doing today?,0
Drug abuse is dangerous,0
Drugs ruin lives,0
DM for heroin,1
DM for charas,1
Drugs ruin lives,0
Selling heroin tonight,1
cocaine available near metro,1
ganja available near metro,1
